"","Sector","Total Economic mill dollar","Total value Added mill dollar","Employee Com mill dollar","Net Tax mill dollar","Profits mill dollar","Direct Economic mill dollar","Direct Economic","CO t","NH3 t","NOx t","PM10 t","PM2.5 t","SO2 t","VOC t","Total Energy TJ","Coal TJ","NatGase TJ","Petrol TJ","Bio/Waste TJ","NonFossElec TJ","Total t CO2e","CO2 Fossil t CO2e","CO2 Process t CO2e","CH4 t CO2e","N2O t CO2e","HFC/PFCs t CO2e","Fugitive kg","Stack kg","Total Air kg","Surface water kg","U'ground Water kg","Land kg","Offiste kg","POTW Metal kg","POTW Nonmetal kg","Water Withdrawals Kgal"
"278",335312,0.000349,0.000151,9.3e-05,1e-06,5.7e-05,4e-06,1.15,4.9e-05,1e-06,3.5e-05,5e-06,4e-06,1e-06,7.6e-05,0.000431,0,0.000262,7e-06,4e-06,0.000157,0.013653,0.013653,0,0,0,0,0.002218,0.016102,0.01832,1e-05,0,1.5e-05,0.001349,1.2e-05,8.2e-05,0.018316
"279",335313,0.000185,9.2e-05,4.4e-05,1e-06,4.7e-05,3e-06,1.62,3e-06,0,4e-06,0,0,0,5e-06,0.000118,0,6.1e-05,2e-06,2e-06,5.3e-05,0.003218,0.003218,0,0,0,0,0.000749,0.000483,0.001233,5e-06,0,3e-06,0.001107,0.000131,0.001868,0.010441
"280",335314,0.001034,0.000472,0.000287,2e-06,0.000183,0.000202,19.5,3.8e-05,0,1.8e-05,0,0,0,9e-06,0.000398,0,0.000182,0,1.1e-05,0.000204,0.009176,0.009176,0,0,0,0,0.000153,0.000148,0.000301,1e-06,0,5e-06,0.001105,3.1e-05,0.009259,0.030074
"281",335911,0.00042,0.000138,0.000111,2e-06,2.6e-05,0,0,2.5e-05,1e-06,3.8e-05,9e-06,8e-06,2e-06,8e-06,0.00121,0,0.000562,2.7e-05,5e-06,0.000616,0.030012,0.030012,0,0,0,0,0.004775,0.003652,0.008426,8.6e-05,0,9.5e-05,0.020004,2.8e-05,0.029616,0.059347
"282",335912,1.9e-05,1.1e-05,3e-06,0,8e-06,0,0,0,0,0,0,0,0,1e-06,1.1e-05,0,4e-06,0,0,7e-06,0.000196,0.000196,0,0,0,0,0.000124,0.000154,0.000278,3e-06,0,0,0.003193,5e-06,0,0.001989
"283",335920,0.000422,0.000131,8.6e-05,1e-06,4.4e-05,3e-06,0.711,3.4e-05,1e-06,2.7e-05,6e-06,5e-06,3e-06,7.7e-05,0.000559,0,0.00027,1.2e-05,5e-06,0.000273,0.014323,0.014323,0,0,0,0,0.008806,0.008178,0.016984,4.1e-05,0,0.003095,0.03807,4.8e-05,0.000348,0.031685
"284",335930,0.000251,0.000124,6e-05,1e-06,6.4e-05,1.3e-05,5.18,2.3e-05,0,1.1e-05,1e-06,1e-06,1e-06,1.2e-05,0.000257,0,0.000112,4e-06,3e-06,0.000139,0.005853,0.005853,0,0,0,0,0.001706,0.002638,0.004344,5e-06,0,6e-06,0.005858,2.2e-05,0.003643,0.022612
"285",335991,0.000319,0.000145,8.7e-05,2e-06,5.6e-05,0,0,0.001239,9e-06,0.000181,0.000433,0.000359,0.000394,7.3e-05,0.002172,0,0.001436,5.7e-05,3e-06,0.000675,0.075926,0.075926,0,0,0,0,0.001696,0.016061,0.017756,5.4e-05,0,0.003439,0.00264,2.3e-05,0.031538,0.042701
"286",335999,0.000133,5.4e-05,4e-05,1e-06,1.3e-05,2e-06,1.5,9e-06,0,5e-06,0,0,1e-06,5e-06,6e-05,0,2.7e-05,1e-06,1e-06,2.9e-05,0.001468,0.001468,0,0,0,0,0.000266,0.000828,0.001094,4e-06,0,4e-06,0.002061,4e-06,0.002234,0.008391
"287",336111,1.6e-05,4e-06,1e-06,0,3e-06,0,0,1e-06,0,0,0,0,0,4e-06,7e-06,0,4e-06,0,1e-06,2e-06,0.000202,0.000202,0,0,0,0,8.8e-05,0.000821,0.000909,0,0,0,4.9e-05,6e-06,0.000149,0.000346
"288",336112,1.1e-05,2e-06,1e-06,0,1e-06,0,0,0,0,0,0,0,1e-06,3e-06,5e-06,0,3e-06,0,0,2e-06,0.00019,0.00019,0,0,0,0,6.4e-05,0.000593,0.000656,0,0,0,3.5e-05,4e-06,0.000107,0.000177
